market_sku,sku_name,market_spu,spu_name,subcategory,category,collection,color_tone,material_helper
AU-50440744-TR4001,"Pebble Ottoman, Ocean Blue",AU-T50440744,Pebble Ottoman,Ottomans,Sofa & Armchairs,Pebble,blue_tone,Fabric|Metal
AU-AS-000328-TL4002-GD,"Adams 3 Seater Sofa Pearl Beige, Brass Leg",AU-TAS-000188,Adams 3 Seater Sofa,3 Seater Sofas,Sofa & Armchairs,Adams,beige_tone,Fabric|Metal
AU-50440767-LW4001,"Isaac Ottoman, Ivory Beige",AU-T50440767,Isaac Ottoman,Ottomans,Sofa & Armchairs,Isaac,beige_tone,Wood|Fabric|Metal
US-54000176-NG4002,"Dawson Right Arm Sofa Cover, Seagull",US-T54000175,Dawson Sofa Modular Component Cover,Sofa Covers,Accessories,Dawson,grey_tone,Fabric
AU-50440932-VE4001,"Fable Corner Sofa, (Vermont) Performance Oyster",AU-T50440932,Fable Performance Fabric Corner Sofa,Modular Corner Sofas,Sofa & Armchairs,Fable,grey_tone,Fabric|Performance Fabric
US-AS-000296-CO4001,"Malta Outdoor Lounge Chair Straw, with Cover",US-T50720001,Malta Outdoor Lounge Chair,Outdoor Lounge Chairs,Outdoor,Malta Outdoor,beige_tone,
US-54000100-CB4001,"Solange Performance Bouclé Sofa, Chalk",US-T54000100,Solange Performance Bouclé Sofa,3 Seater Sofas,Sofa & Armchairs,Solange,white_tone,Fabric|Bouclé|Performance Fabric
US-50440850-IV,"Maui Outdoor Side Table Cover, Ivory",US-T50440821,Maui Outdoor Side Table Cover,Outdoor Furniture Covers,Outdoor,Maui Outdoor,grey_tone,Fabric
US-50440839-IV,"Rio Outdoor Teak Dining Bench Cover 130CM, Ivory",US-T50440815,"Rio Outdoor Teak Dining Bench Cover, 51.2""",Outdoor Furniture Covers,Outdoor,Rio Outdoor,grey_tone,Fabric
US-50440815-BG,"Rio Outdoor Teak Dining Bench Cover 51.2"", Beige",US-T50440815,"Rio Outdoor Teak Dining Bench Cover, 51.2""",Outdoor Furniture Covers,Outdoor,Rio Outdoor,beige_tone,Fabric
